,Ammonium,CDI,Crop,Date_actual,Date_found_N,Date_found_NDVI,Date_found_W,Date_found_leach,LAI,N20,NDVI,NF,NH4_leach,NO3_leach,Nitrate,Precip,SWC,Stability,Temp,Tmax,Tmin,Treatment1,Treatment_N,Year
0,2.12,1.0,Soy,1997-06-17,1997-06-10,1997-06-22,1997-06-10,1997-06-18,0.608175,4.6,0.299,1.0,0.139,5.171,8.64,0.0,0.18,Stable,16.11,21.44,9.67,T2R4,T2R4,1997
1,2.46,1.0,Soy,1997-06-17,1997-06-10,1997-06-29,1997-06-10,1997-06-18,0.608175,6.9,0.342,1.0,0.034,7.508,9.68,0.0,0.19,Stable,16.11,21.44,9.67,T2R3,T2R3,1997
2,2.23,1.0,Soy,1997-06-17,1997-06-10,1997-06-13,1997-06-10,1997-06-18,0.580496,5.1,0.449,1.0,0.056,8.426,5.56,0.0,0.15,Stable,16.11,21.44,9.67,T1R4,T1R4,1997
3,2.51,1.0,Soy,1997-06-17,1997-06-10,1997-06-13,1997-06-10,1997-06-18,0.580496,2.3,0.369,1.0,0.034,9.827,9.48,0.0,0.19,Stable,16.11,21.44,9.67,T1R3,T1R3,1997
4,1.61,1.0,Soy,1997-06-17,1997-06-10,1997-06-13,1997-06-10,1997-06-18,0.580496,1.7,0.293,1.0,0.244,15.446,11.21,0.0,0.15,Unstable,16.11,21.44,9.67,T1R2,T1R2,1997
5,2.08,1.0,Soy,1997-06-17,1997-06-10,1997-06-22,1997-06-10,1997-06-18,0.608175,0.8,0.277,1.0,0.034,15.754,6.13,0.0,0.14,Stable,16.11,21.44,9.67,T2R2,T2R2,1997
6,0.73,1.0,Soy,1997-07-02,1997-07-09,1997-07-15,1997-07-09,1997-07-02,3.432875,2.7,0.654,1.0,0.072,15.096,13.2,0.0,0.13,Unstable,23.86,31.21,18.05,T1R2,T1R2,1997
7,0.0,1.0,Soy,1997-07-02,1997-07-09,1997-07-15,1997-07-09,1997-07-02,3.176896,3.4,0.59,1.0,0.06,11.834,6.06,0.0,0.18,Stable,23.86,31.21,18.05,T1R3,T1R3,1997
8,0.0,1.0,Soy,1997-07-02,1997-07-09,1997-07-15,1997-07-09,1997-07-02,3.317003,4.1,0.672,1.0,0.051,8.579,8.05,0.0,0.13,Stable,23.86,31.21,18.05,T1R4,T1R4,1997
9,0.08,1.0,Soy,1997-07-02,1997-07-09,1997-07-15,1997-07-09,1997-07-02,3.494741,2.4,0.706,1.0,0.051,19.868,9.19,0.0,0.14,Stable,23.86,31.21,18.05,T2R2,T2R2,1997
10,0.08,1.0,Soy,1997-07-02,1997-07-09,1997-07-15,1997-07-09,1997-07-02,3.262801,27.2,0.61,1.0,0.062,10.041,10.9,0.0,0.19,Stable,23.86,31.21,18.05,T2R3,T2R3,1997
11,2.73,1.0,Soy,1997-07-02,1997-07-09,1997-07-15,1997-07-09,1997-07-02,3.164662,4.2,0.66,1.0,0.077,5.764,5.95,0.0,0.17,Stable,23.86,31.21,18.05,T2R4,T2R4,1997
12,3.49,1.0,Soy,1997-07-22,1997-07-23,1997-07-15,1997-07-23,1997-07-16,3.677339,1.8,0.66,1.0,0.071,4.79,5.84,0.0,0.12,Stable,19.18,23.09,15.3,T2R4,T2R4,1997
13,2.34,1.0,Soy,1997-07-22,1997-07-23,1997-07-15,1997-07-23,1997-07-16,4.064258,2.3,0.654,1.0,0.084,12.639,5.95,0.0,0.09,Unstable,19.18,23.09,15.3,T1R2,T1R2,1997
14,3.46,1.0,Soy,1997-07-22,1997-07-23,1997-07-15,1997-07-23,1997-07-16,4.131739,0.8,0.706,1.0,0.068,20.964,7.44,0.0,0.1,Stable,19.18,23.09,15.3,T2R2,T2R2,1997
15,1.96,1.0,Soy,1997-07-22,1997-07-23,1997-07-15,1997-07-23,1997-07-16,3.855679,1.4,0.672,1.0,0.068,6.233,10.18,0.0,0.08,Stable,19.18,23.09,15.3,T1R4,T1R4,1997
